jobs = Job.create(
    [
name: papa, payout: 640, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 46, xp: 68 
name: gibbon, payout: 1639, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 167, xp: 79 
name: victor, payout: 1959, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 128, xp: 5 
name: goat cheese, payout: 977, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 59, xp: 33 
name: hurricane, payout: 241, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 120, xp: 87 
name: vigo, payout: 1755, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 55, xp: 77 
name: blowback, payout: 1514, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 50, xp: 4 
name: applesauce, payout: 1756, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 132, xp: 66 
name: bravo, payout: 1376, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 103, xp: 18 
name: coldcuts, payout: 1105, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 42, xp: 96 
name: quarantine, payout: 860, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 172, xp: 53 
name: vigo, payout: 1337, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 86, xp: 35 
name: hackathon, payout: 1981, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 89, xp: 17 
name: quarantine, payout: 1533, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 128, xp: 49 
name: loose goose, payout: 942, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 40, xp: 93 
name: richard, payout: 494, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 172, xp: 26 
name: shutdown, payout: 684, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 146, xp: 100 
name: purple donkey, payout: 1840, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 128, xp: 55 
name: gale, payout: 595, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 72, xp: 59 
name: half a beer, payout: 1934, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 169, xp: 35 
name: typhoon, payout: 372, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 49, xp: 49 
name: jaba, payout: 914, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 33, xp: 12 
name: quarantine, payout: 1323, reward: 'Placeholder Item', difficulty: 8, description: 'Placeholder Description', time_to_complete: 135, xp: 26 
name: moose, payout: 585, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 86, xp: 67 
name: backdraft, payout: 396, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 148, xp: 90 
name: fat man, payout: 1473, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 106, xp: 2 
name: purple donkey, payout: 675, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 39, xp: 80 
name: hell raiser, payout: 514, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 48, xp: 64 
name: jam out clam out, payout: 1237, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 38, xp: 5 
name: backdraft, payout: 1349, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 108, xp: 29 
name: recovery, payout: 1974, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 30, xp: 15 
name: gibbon, payout: 594, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 104, xp: 10 
name: top gun, payout: 1473, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 74, xp: 11 
name: black hawk, payout: 841, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 170, xp: 97 
name: embedded, payout: 1984, reward: 'Placeholder Item', difficulty: 3, description: 'Placeholder Description', time_to_complete: 145, xp: 42 
name: purple donkey, payout: 678, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 111, xp: 25 
name: salamander, payout: 975, reward: 'Placeholder Item', difficulty: 11, description: 'Placeholder Description', time_to_complete: 64, xp: 9 
name: thunder****, payout: 1945, reward: 'Placeholder Item', difficulty: 2, description: 'Placeholder Description', time_to_complete: 164, xp: 87 
name: bluejay, payout: 1280, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 57, xp: 62 
name: papa, payout: 1246, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 70, xp: 21 
name: victor, payout: 1623, reward: 'Placeholder Item', difficulty: 10, description: 'Placeholder Description', time_to_complete: 90, xp: 82 
name: gibbon, payout: 921, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 164, xp: 67 
name: salamander, payout: 302, reward: 'Placeholder Item', difficulty: 5, description: 'Placeholder Description', time_to_complete: 121, xp: 79 
name: chico, payout: 1611, reward: 'Placeholder Item', difficulty: 9, description: 'Placeholder Description', time_to_complete: 104, xp: 50 
name: vigo, payout: 1589, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 34, xp: 95 
name: hurricane, payout: 854, reward: 'Placeholder Item', difficulty: 4, description: 'Placeholder Description', time_to_complete: 160, xp: 42 
name: recovery, payout: 927, reward: 'Placeholder Item', difficulty: 1, description: 'Placeholder Description', time_to_complete: 115, xp: 6 
name: black eye, payout: 1642, reward: 'Placeholder Item', difficulty: 12, description: 'Placeholder Description', time_to_complete: 58, xp: 21 
name: moose, payout: 410, reward: 'Placeholder Item', difficulty: 6, description: 'Placeholder Description', time_to_complete: 107, xp: 52 
name: whateverthefuck, payout: 1099, reward: 'Placeholder Item', difficulty: 7, description: 'Placeholder Description', time_to_complete: 74, xp: 27 
